stock,date,open,close,high,low,volume
AAPL,1/1/20,71.72100860521282,72.24153900146484,72.84921605109494,70.87606657212106,509062400
AAPL,1/8/20,71.94375924727595,75.70121765136719,76.88511195829709,71.94375924727595,726318800
AAPL,1/15/20,75.50025707215941,76.64299011230469,77.23614144709862,74.94341253049434,479412400
AAPL,1/22/20,77.12963079607457,76.91416168,78.27962691,73.81280433440728,677016000
AAPL,1/29/20,78.55079375640157,77.19500732421875,79.37394742965633,73.16880903613175,852965600
AAPL,2/5/20,78.32562706541603,77.37899780273438,78.73720757560503,75.98448122939216,545608400
AAPL,2/12/20,78.01402932639616,77.41461181640625,79.40943377136273,76.34924730268484,441122800
AAPL,2/19/20,77.65730753972142,69.91098785,78.78576381,69.43776808,776972800
AAPL,2/26/20,69.53480712405108,70.21188354492188,73.77440915704527,62.215608274227264,1606043200
AAPL,3/4/20,71.93976347108547,69.24602508544922,73.62880724,63.824577105227895,1204962800
AAPL,3/11/20,67.31673489669015,61.36381530761719,68.24619225682567,57.854675154192996,1691284400
AAPL,3/18/20,58.187142265863706,59.91259002685547,61.35895472852969,51.59598003177248,1598068000
AAPL,3/25/20,60.851771374801395,61.710853576660156,63.70082103256645,59.28649225351485,1124884400
AAPL,4/1/20,59.820375983325256,62.958213806152344,65.93588999958892,57.49065600541645,876740000
AAPL,4/8/20,63.76147030609025,69.66099548339844,69.95221321023672,63.39503009688849,656747600
AAPL,4/15/20,68.53256396040148,65.12777709960938,69.94010692934629,64.41430008220807,814536400
AAPL,4/22/20,66.39940705835414,67.60552215576172,69.36494515545422,66.05723613705248,596930400
AAPL,4/29/20,69.09800937989587,72.21157836914062,73.04639490337159,68.89415986423161,842280800
AAPL,5/6/20,72.91532454947149,75.57266235351562,77.58204401973299,72.52946586,699634800
AAPL,5/13/20,75.95731927592772,76.19822692871094,77.50736817025115,73.05188728704225,762808000
AAPL,5/20/20,77.05963660667496,77.07180786132812,78.89925602718259,76.73600301970733,421518800
